Title,Date Creat,Latitude,Longitude,Northing,Easting,Descriptio,Biocontrol,Chemical c,Density,Detection,Detectio_1,Notes,Number of,Quarter,Species,Status,timestamp,X,Y
Jointed Cactus. Car Large. Spray,,-24.213280000000001,30.936250000000001,7320611.515573530457914,290410.877223843010142,,-,MSMA,High,Car,Primary,,,,Jointed cactus,,2020/07/23 15:53:16.000,30.936250000000001,-24.213280000000001
Jointed Cactus. Infected With Bugs,,-24.221959999999999,30.922190000000001,7319628.887817589566112,288996.871744528994896,,Mealy Bug,-,Med,Car,Primary,bugs have taken,,,Jointed cactus,,2020/05/19 09:18:17.000,30.922190000000001,-24.221959999999999
Jointed Cactus. Spray Car Med,,-24.216339999999999,30.896670000000000,7320212.573743790388107,286395.145096205989830,,-,MSMA,Med,Car,Primary,,,,Jointed cactus,,2020/08/11 10:55:07.000,30.896670000000000,-24.216339999999999
Jointed Cactus. Spray Med Car,,-24.216329999999999,30.896690000000000,7320213.712019939906895,286397.160130503005348,,-,MSMA,Med,Car,Primary,,,,Jointed cactus,,2020/08/11 10:54:51.000,30.896690000000000,-24.216329999999999
Jointed Cactus. Update 3 September Spray Again Mostly Dead,,-24.223050000000001,30.905000000000001,7319482.052814169786870,287252.509130802005529,,-,MSMA,Med,Car,Primary,dying. Needs respray,,,Jointed cactus,,2020/09/03 14:28:24.000,30.905000000000001,-24.223050000000001
Large Pp Both Walk,,-24.213020000000000,30.853870000000001,7320514.159409640356898,282041.569829681015108,,Cochineal bug,MSMA,High,Foot,Secondary,,,,Prickly Pear,,2020/05/25 17:32:40.000,30.853870000000001,-24.213020000000000
"Large Pp Both Walk, dead March",,-24.213020000000000,30.853870000000001,7320514.159409640356898,282041.569829681015108,,Cochineal bug,MSMA,High,Foot,Secondary,,,2020 - Quarter 2,Prickly Pear,,32:40.0,30.853870000000001,-24.213020000000000
Large Qon Already Bugs,,-24.209070000000001,30.828569999999999,7320911.964629239402711,279464.510719597979914,,Mealy bug,-,High,Car,Primary,already infected with bugs,-,2020 - Quarter 2,Queen of the night,Treated,30:44.0,30.828569999999999,-24.209070000000001
Large Qon Already Bugs,,-24.209069220000000,30.828574430000000,7320912.058027749881148,279464.959441292972770,,Mealy bug,-,High,Car,Primary,already infected with bugs,,,Queen of the night,,2020/06/09 15:30:44.000,30.828574430000000,-24.209069220000000
Moon Cactus,,-24.214735990000001,30.822931059999998,7320275.421470619738102,278901.407930482993834,,-,-,High,Car,Primary,,,,Moon cactus,,2020/08/01 08:23:17.000,30.822931059999998,-24.214735990000001
Moon Cactus Infestation,,-24.214109319999999,30.823181500000000,7320345.234657069668174,278925.768043398973532,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/08/01 08:26:27.000,30.823181500000000,-24.214109319999999
Moon Cactus Infestation,,-24.215753169999999,30.824070689999999,7320164.552787570282817,279018.939534589997493,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/08/01 09:09:13.000,30.824070689999999,-24.215753169999999
Moon Cactus Infestation bio control placed  11 January 2021,,-24.214578029999998,30.823016610000000,7320293.054280639626086,278909.826191523985472,,-,,High,Foot,Secondary,,,2021 - Quarter 1,Moon cactus,,2020/08/01 08:23:55.000,30.823016610000000,-24.214578029999998
Moon Cactus Infestation Need Treatment,,-24.213819999999998,30.823129999999999,7320377.201187740080059,278920.036458013986703,,-,-,High,Car,Primary,Needs both treatments,-,2020 - Quarter 2,Moon cactus,,05:42.0,30.823129999999999,-24.213819999999998
Moon Cactus Infestation Need Treatment,,-24.213824240000001,30.823132789999999,7320376.735940090380609,278920.327220018021762,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/07/01 12:05:42.000,30.823132789999999,-24.213824240000001
Moon Cactus Infestation. Biological control spread,,-24.214519769999999,30.822959829999999,7320299.417827459983528,278903.957248287973925,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/08/01 08:21:55.000,30.822959829999999,-24.214519769999999
Moon Cactus Infestation. Untreated,,-24.214919999999999,30.823950000000000,7320256.652272510342300,279005.240282135026064,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/08/01 17:49:46.000,30.823950000000000,-24.214919999999999
Moon Cactus Infestation. Untreated,,-24.214860000000002,30.824330000000000,7320263.900098229758441,279043.741061886015814,,-,-,High,Car,Primary,,,,Moon cactus,,2020/08/01 17:50:20.000,30.824330000000000,-24.214860000000002
Moon Cactus Investation Needs Treatment,,-24.214169999999999,30.825389999999999,7320342.009214839898050,279150.236488613998517,,-,-,High,Car,Primary,Needs both treatments,-,2020 - Quarter 2,Moon cactus,,22:14.0,30.825389999999999,-24.214169999999999
Moon Cactus Investation Needs Treatment,,-24.214171660000002,30.825389529999999,7320341.824592470191419,279150.191604684980121,,-,-,High,Car,Primary,,,,Moon cactus,,2020/07/01 12:22:14.000,30.825389529999999,-24.214171660000002
Moon Cactus Large,,-24.215772970000000,30.824333639999999,7320162.775826360099018,279045.686727282998618,,-,-,High,Foot,Secondary,,,,Moon cactus,,2020/08/01 09:11:24.000,30.824333639999999,-24.215772970000000
Moon Cactus Large Walk Used Pp Bugs Test If They Take,,-24.209170000000000,30.828910000000000,7320901.424660360440612,279499.225163655006327,,Cochineal bug,-,High,Foot,Secondary,monitor if cochineal bugs spread directly from infected pp cladode,-,2020 - Quarter 2,Moon cactus,,48:24.0,30.828910000000000,-24.209170000000000
Moon Cactus Large Walk Used Pp Bugs Test If They Take,,-24.209170000000000,30.828910000000000,7320901.424660360440612,279499.225163655006327,,Cochineal bug,-,High,Foot,Secondary,monitor if cochineal bugs spread directly from infected pp cladode,-,2020 - Quarter 2,Moon cactus,,48:24.0,30.828910000000000,-24.209170000000000
Moon Cactus Small,,-24.214199080000000,30.823383289999999,7320335.611490119248629,278946.423099261999596,,-,-,Low,Car,Primary,,-,,Moon cactus,,2020/08/01 08:26:56.000,30.823383289999999,-24.214199080000000
Moon Cactus Treated From Road To Here With Bugs,,-24.215019999999999,30.823239999999998,7320244.450899340212345,278933.283789907989558,,Cochineal bug,MSMA,High,Car,Primary,Monitor spread of bugs to plants that have been sprayed and plants that havent been sprayed,-,2020 - Quarter 2,Moon cactus,,46:57.0,30.823239999999998,-24.215019999999999
Moon Cactus Treated From Road To Here With Bugs,,-24.215019999999999,30.823239999999998,7320244.450899340212345,278933.283789907989558,,Cochineal bug,MSMA,High,Car,Primary,Monitor spread of bugs to plants that have been sprayed and plants that havent been sprayed,-,2020 - Quarter 2,Moon cactus,,46:57.0,30.823239999999998,-24.215019999999999
Moon Cactus Treated From Road To Here With Bugs,,-24.215019999999999,30.823239999999998,7320244.450899340212345,278933.283789907989558,,Cochineal bug,MSMA,High,Car,Primary,Monitor spread of bugs to plants that have been sprayed and plants that havent been sprayed,-,2020 - Quarter 2,Moon cactus,,46:57.0,30.823239999999998,-24.215019999999999
Moon Cactus Untreated,,-24.213809999999999,30.823020000000000,7320378.134664230048656,278908.844144423026592,,-,-,High,Car,Primary,Needs both treatments,-,2020 - Quarter 2,Moon cactus,,05:35.0,30.823020000000000,-24.213809999999999
Moon Cactus Untreated,,-24.213814030000002,30.823016460000002,7320377.682652300223708,278908.491471168003045,,-,-,High,Car,Primary,,,,Moon cactus,,2020/07/01 10:05:35.000,30.823016460000002,-24.213814030000002
Moon Cactus. Spray Small,,-24.217216109999999,30.823538440000000,7320001.659496909938753,278967.394618018006440,,-,MSMA,Low,Foot,Secondary,,,,Moon cactus,,2020/08/01 11:22:56.000,30.823538440000000,-24.217216109999999
Pp  But Extremely Dense. Med 5c. Bugs,,-24.227200000000000,30.952860000000001,7319094.513428520411253,292120.837298676022328,,Cochineal bug,-,Low,Car,Primary,,,2020 - Quarter 3,Prickly Pear,,46:13.0,30.952860000000001,-24.227200000000000
Pp  Med Walk Bugs 4 C,,-24.213930000000001,30.823010000000000,7320364.826373641379178,278908.035477729979903,,Cochineal bug,-,Med,Foot,Secondary,needs chemical control,4 cladodes,2020 - Quarter 2,Prickly pear,Treated,04:43.0,30.823010000000000,-24.213930000000001
Pp  Med Walk Bugs 4 C,,-24.213930000000001,30.823010000000000,7320364.826373641379178,278908.035477729979903,,Cochineal bug,-,Med,Foot,Secondary,needs chemical control,4 cladodes,2020 - Quarter 2,Prickly pear,Treated,04:43.0,30.823010000000000,-24.213930000000001
Pp  Small 1c car,,-24.213600000000000,30.833220000000001,7320417.514496110379696,279944.712214103026781,,-,-,Low,Car,Primary,Removed to nursery,1 cladode,2020 - Quarter 2,Prickly pear,Treated,52:44.0,30.833220000000001,-24.213600000000000
PP (motherload) 4 c bugs walk marula revisit monthly,,-24.186889999999998,30.853149999999999,7323407.423347219824791,281923.946783528022934,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:21.0,30.853149999999999,-24.186889999999998
Pp (Motherload) 4c Bugs Walk For Marula. Revisit Monthly,,-24.186889999999998,30.853149999999999,7323407.423347219824791,281923.946783528022934,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:21.0,30.853149999999999,-24.186889999999998
Pp (Motherload) 4c Bugs Walk For Marula. Revisit Monthly,,-24.186889999999998,30.853149999999999,7323407.423347219824791,281923.946783528022934,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:21.000,30.853149999999999,-24.186889999999998
Pp (Motherload) 4c Bugs Walk For Marula. Revisit Monthly,,-24.186889999999998,30.853149999999999,7323407.423347219824791,281923.946783528022934,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:21.000,30.853149999999999,-24.186889999999998
Pp (Motherload) 5c Nursery,,-24.186810000000001,30.853200000000001,7323416.362868829630315,281928.891249654989224,,-,-,High,Car,Primary,nursery,,,Prickly Pear,,2020/07/22 14:29:02.000,30.853200000000001,-24.186810000000001
Pp (Motherload) 5c Nursery walk for marula,,-24.186810000000001,30.853200000000001,7323416.362868829630315,281928.891249654989224,,-,-,High,walk - marula,Tertiary,Nursery,,2020 - Quarter 3,Prickly Pear,,29:02.0,30.853200000000001,-24.186810000000001
pp (motherload) 5c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) 5c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) 5c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) 5c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
Pp (Motherload) 8c Already Infected With Bugs. See If Bugs Spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,Cochineal bug,-,High,Foot,Secondary,Already infected,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) 8c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) 8c see if bugs spread Foot,,-24.175339999999998,30.856739999999999,7324692.396161570213735,282269.118463832011912,,-,-,High,Foot,Secondary,bugs should spread,,2020 - Quarter 3,Prickly Pear,,35:57.0,30.856739999999999,-24.175339999999998
pp (motherload) dense 5c walk marula bugs revisit monthly,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:42.0,30.853130000000000,-24.186859999999999
pp (motherload) dense 5c walk marula bugs revisit monthly,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:42.0,30.853130000000000,-24.186859999999999
pp (motherload) dense 5c walk marula bugs revisit monthly,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:42.0,30.853130000000000,-24.186859999999999
pp (motherload) med 6c bugs walk marula revisit monthly,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,28:17.0,30.853220000000000,-24.186810000000001
pp (motherload) med 6c bugs walk marula revisit monthly,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,28:17.0,30.853220000000000,-24.186810000000001
Pp (Motherload) Med Walk For Marula Bugs 6c,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:28:17.000,30.853220000000000,-24.186810000000001
Pp (Motherload) Med Walk For Marula Bugs 6c,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:28:17.000,30.853220000000000,-24.186810000000001
Pp (Motherload) Med Walk For Marula Bugs 6c March,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:28:17.000,30.853220000000000,-24.186810000000001
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,30:42.0,30.853130000000000,-24.186859999999999
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:42.000,30.853130000000000,-24.186859999999999
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:42.000,30.853130000000000,-24.186859999999999
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:42.000,30.853130000000000,-24.186859999999999
Pp (Motherload) Very Dense Bugs Walk For Marula 5c,,-24.186859999999999,30.853130000000000,7323410.715192509815097,281921.863516813027672,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:30:42.000,30.853130000000000,-24.186859999999999
Pp (Motherload) Walk For Marula. Bugs 5c Revisit Every Month,,-24.186800000000002,30.853200000000001,7323417.470555000007153,281928.874237021023873,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,28:42.0,30.853200000000001,-24.186800000000002
Pp (Motherload) Walk For Marula. Bugs 5c Revisit Every Month,,-24.186800000000002,30.853200000000001,7323417.470555000007153,281928.874237021023873,,Cochineal bug,-,High,walk - marula,Tertiary,,,,Prickly Pear,,2020/07/22 14:28:42.000,30.853200000000001,-24.186800000000002
Pp (Motherload) X3 Med Walk For Marula Bugs 6c revisit monthly,,-24.186810000000001,30.853220000000000,7323416.394081099890172,281930.923477869015187,,Cochineal bug,-,High,walk - marula,Tertiary,,,2020 - Quarter 3,Prickly Pear,,28:17.0,30.853220000000000,-24.186810000000001
Pp 27th august Update. Precisely Sprayed. Dying Mostly Dead. Sprayed Again,,-24.176530000000000,30.868160000000000,7324578.321561349555850,283431.629586650000419,,-,MSMA,High,find original,,,,2020 - Quarter 3,Prickly Pear,,12:34.0,30.868160000000000,-24.176530000000000
Pp 4c Walk Poo Nursery,,-24.198360000000001,30.929880000000001,7322254.553968429565430,289739.275906073977239,,-,-,Med,walk - poo,Tertiary,nursery,,,Prickly Pear,,2020/11/27 10:39:47.000,30.929880000000001,-24.198360000000001
pp 5c foot nursery,,-24.211960000000001,30.947399999999998,7320774.419686810113490,291541.417935194971506,,-,,Med,Foot,Secondary,Nursery,,2020 - Quarter 3,Prickly Pear,,19:43.0,30.947399999999998,-24.211960000000001
pp 5c foot nursery,,-24.211960000000001,30.947399999999998,7320774.419686810113490,291541.417935194971506,,-,,Med,Foot,Secondary,Nursery,,2020 - Quarter 3,Prickly Pear,,19:43.0,30.947399999999998,-24.211960000000001
pp 5c foot nursery,,-24.211960000000001,30.947399999999998,7320774.419686810113490,291541.417935194971506,,-,,Med,Foot,Secondary,Nursery,,2020 - Quarter 3,Prickly Pear,,19:43.0,30.947399999999998,-24.211960000000001
Pp Already Spray And Bugs. Bugs Didnt Take. Spray Did Some Damage But Rejuvenated. Presence Of Moth,,-24.191060000000000,30.845150000000000,7322933.007873710244894,281118.176083508005831,,Cochineal bug,MSMA,High,Foot,Secondary,,,2020 - Quarter 2,Prickly Pear,,21:51.0,30.845150000000000,-24.191060000000000
Pp Already Spray And Bugs. Bugs Didnтt Take. Spray Did Some Damage But Rejuvenated. Presence Of Moth,,-24.191060000000000,30.845150000000000,7322933.007873710244894,281118.176083508005831,,Cochineal bug,MSMA,Med,Car,Primary,evidence of moth. Needs biocontrol,,,Prickly Pear,needs biological control,2020/06/22 13:21:51.000,30.845150000000000,-24.191060000000000
Pp Bugs. Large Walk 6c,,-24.179400000000001,30.869640000000000,7324262.710287139751017,283586.869019125995692,,Cochineal bug,-,High,Foot,Secondary,,,,Prickly Pear,,2020/07/30 11:49:44.000,30.869640000000000,-24.179400000000001
Pp C3 Med 5c Evidence Of Moth. Untreated,,-24.196510000000000,30.934439999999999,7322466.325691979378462,290199.537139009975363,,-,-,Med,Car,Primary,evidence of moth,,,Prickly Pear,,2020/08/27 12:51:32.000,30.934439999999999,-24.196510000000000
Pp Car 7c Bugs,,-24.219159999999999,30.899290000000001,7319904.218423670157790,286666.000413240981288,,Cochineal bug,-,High,Car,Primary,,,2020 - Quarter 3,Prickly Pear,,10:36.0,30.899290000000001,-24.219159999999999
Pp Car 7c Bugs,,-24.219159999999999,30.899290000000001,7319904.218423670157790,286666.000413240981288,,Cochineal bug,,High,Car,Primary,,,,Prickly Pear,,2020/07/09 15:10:36.000,30.899290000000001,-24.219159999999999
Pp Car 8c Bugs,,-24.177980000000002,30.853619999999999,7324395.104493930004537,281956.551408446975984,,Cochineal bug,,High,Car,Primary,,,,Prickly Pear,,2020/12/09 12:08:01.000,30.853619999999999,-24.177980000000002
Pp Car Both,,-24.214960000000001,30.822700000000001,7320250.241753649897873,278878.321357076987624,,Cochineal bug,MSMA,Med,Car,Primary,,-,2020 - Quarter 2,Prickly pear,Treated,37:09.0,30.822700000000001,-24.214960000000001
Pp Car Both,,-24.214960000000001,30.822700000000001,7320250.241753649897873,278878.321357076987624,,Cochineal bug,MSMA,Med,Car,Primary,,,2020 - Quarter 2,Prickly pear,,37:09.0,30.822700000000001,-24.214960000000001
Pp Car Both,,-24.214960000000001,30.822700000000001,7320250.241753649897873,278878.321357076987624,,Cochineal bug,MSMA,Med,Car,Primary,,,2020 - Quarter 2,Prickly pear,,37:09.0,30.822700000000001,-24.214960000000001
Pp Car Both Med,,-24.214089999999999,30.829090000000001,7320356.720043250359595,279525.984803053026553,,Cochineal bug,MSMA,Med,Car,Primary,,-,2020 - Quarter 2,Prickly pear,Treated,14:30.0,30.829090000000001,-24.214089999999999
Pp Car Both Med,,-24.214089999999999,30.829090000000001,7320356.720043250359595,279525.984803053026553,,Cochineal bug,MSMA,Med,Car,Primary,,,2020 - Quarter 2,Prickly pear,,14:30.0,30.829090000000001,-24.214089999999999
Pp Car Both Med,,-24.214089999999999,30.829090000000001,7320356.720043250359595,279525.984803053026553,,Cochineal bug,MSMA,Med,Car,Primary,,,2020 - Quarter 2,Prickly pear,,14:30.0,30.829090000000001,-24.214089999999999
pp Car Bugs 4c,,-24.210747919999999,30.832517769999999,7320732.331994920037687,279868.468123204016592,,Cochineal bug,-,Med,Car,Primary,,,,Prickly pear,,2020/06/29 10:07:43.000,30.832517769999999,-24.210747919999999
PP Car Bugs 4c,,-24.210750000000001,30.832519999999999,7320732.105109870433807,279868.698252419999335,,Cochineal bug,-,Med,Car,Primary,needs chemical control,4 cladodes,2020 - Quarter 2,Prickly pear,Treated,07:43.0,30.832519999999999,-24.210750000000001
Pp Car Bugs Med,,-24.213320000000000,30.823889999999999,7320433.789892359636724,278996.382665354001801,,Cochineal bug,-,Med,Car,Primary,needs chemical control,-,2020 - Quarter 2,Prickly pear,Treated,44:33.0,30.823889999999999,-24.213320000000000
Pp Car Bugs Med,,-24.213320000000000,30.823889999999999,7320433.789892359636724,278996.382665354001801,,Cochineal bug,-,Med,Car,Primary,needs chemical control,-,2020 - Quarter 2,Prickly pear,Treated,44:33.0,30.823889999999999,-24.213320000000000
Pp Car Bugs Med 4c,,-24.191730000000000,30.886800000000001,7322923.414809919893742,285351.249469381989911,,Cochineal bug,-,Med,Car,Primary,,,2020 - Quarter 3,Prickly Pear,,00:50.0,30.886800000000001,-24.191730000000000
Pp Car Bugs Med 4c,,-24.191730000000000,30.886800000000001,7322923.414809919893742,285351.249469381989911,,Cochineal bug,,Med,Car,Primary,,,,Prickly Pear,,2020/07/03 09:00:50.000,30.886800000000001,-24.191730000000000
Pp Car Bugs Med. Update 1st August - Bugs Didnтt Take. Part Dying From Spray. Spray Again,,-24.213324119999999,30.823893630000001,7320433.339265670627356,278996.758555504027754,,Cochineal bug,MSMA,Med,Car,Primary,,,,Prickly pear,,2020/06/09 14:44:33.000,30.823893630000001,-24.213324119999999
Pp Car Large Already Treated With Bugs. Didnt Take So Need More,,-24.192750000000000,30.885420000000000,7322808.311426080763340,285212.742674442997668,,Cochineal bug,-,High,Car,Primary,Needs more bugs,,2020 - Quarter 3,Prickly Pear,,11:05.0,30.885420000000000,-24.192750000000000
Pp Car Large Already Treated With Bugs. Didnтt Take So Need More,,-24.192750000000000,30.885420000000000,7322808.311426080763340,285212.742674442997668,,Cochineal bug,-,High,Car,Primary,bugs didnt spread. Needs biocontrol,,,Prickly Pear,needs biological control,2020/07/30 15:11:05.000,30.885420000000000,-24.192750000000000
Pp Car Large Dense Bugs 9c Fruiting.,,-24.208349999999999,30.893760000000000,7321093.145567649975419,286086.180450927000493,,Cochineal bug,-,High,Car,Primary,,,2020 - Quarter 3,Prickly Pear,,57:01.0,30.893760000000000,-24.208349999999999
Pp Car Large Dense Bugs 9c Fruiting. Update 15 September Bugs Have Taken,,-24.208349999999999,30.893760000000000,7321093.145567649975419,286086.180450927000493,,Cochineal bug,-,High,Car,Primary,bugs have taken,,,Prickly Pear,,2020/07/09 13:57:01.000,30.893760000000000,-24.208349999999999
Pp Car Med 5c Evidence Of Moth. Untreated,,-24.196510000000000,30.934439999999999,7322466.325691979378462,290199.537139009975363,,-,-,Med,Car,Primary,untreated,,2020 - Quarter 3,Prickly Pear,,51:32.0,30.934439999999999,-24.196510000000000
PP Car nursery 3c,,-24.213600000000000,30.833220000000001,7320417.514496110379696,279944.712214103026781,,-,-,Low,Car,Primary,Removed to nursery,3 cladodes,2020 - Quarter 2,Prickly pear,Treated,52:44.0,30.833220000000001,-24.213600000000000
pp car small bugs,,-24.215509999999998,30.828299999999999,7320198.178342360071838,279448.174577771977056,,Cochineal bug,-,Low,Car,Primary,needs chemical control,3 cladodes,2020 - Quarter 2,Prickly pear,Treated,41:52.0,30.828299999999999,-24.215509999999998
pp car small bugs,,-24.215509999999998,30.828299999999999,7320198.178342360071838,279448.174577771977056,,Cochineal bug,-,Low,Car,Primary,needs chemical control,3 cladodes,2020 - Quarter 2,Prickly pear,Treated,41:52.0,30.828299999999999,-24.215509999999998
Pp Dead Spray And Bugs. Dead From Spray Bugs Did Spread Though,,-24.200420000000001,30.818220000000000,7321853.741457830183208,278398.035193055984564,,Cochineal bug,MSMA,Med,Car,Primary,Update - dead,-,2020 - Quarter 2,Prickly pear,Treated,29:30.0,30.818220000000000,-24.200420000000001
Pp Dead Spray And Bugs. Dead From Spray Bugs Did Spread Though,,-24.200420000000001,30.818220000000000,7321853.741457830183208,278398.035193055984564,,Cochineal bug,MSMA,Med,Car,Primary,,,2020 - Quarter 2,Prickly pear,,29:30.0,30.818220000000000,-24.200420000000001
