Title,,,,,Date Created,Latitude,Longitude,Northing,Easting,Description,Biocontrol,Camera,Chemical c,Density,Detection method,Detection method description,Done,Done_1,field_2,field_3,Grid,id,layer,Notes,Number of,path,Plot,Point Id,Quarter,Seedling,Sex,Species,Status,timestamp,Tree#,WKT,X,Y,,,,,,,
,,,,,,-24.23121242,30.93144411,-2781607766,3443272608,,,,,,,,,,30.93144411,-24.23121242,L18,6,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23120008,30.93345424,-2781606.26,3443496374,,,,,,,,,,30.93345424,-24.23120008,L18,3,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.2300293,30.95927729,-2781463338,3446370983,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.95927729,-24.2300293,,,,,,,
,,,,,,-24.2300293,30.95927729,-2781463338,3446370983,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.2300293,30.95927729,-2781463338,3446370983,,,,,,,,,,30.95927729,-24.2300293,N18,5,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23000464,30.95538093,-2781460328,3445937242,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.95538093,-24.23000464,,,,,,,
,,,,,,-24.23000464,30.95538093,-2781460328,3445937242,,,,,,,,,,30.95538093,-24.23000464,N18,1,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23000464,30.95538093,-2781460328,3445937242,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22999231,30.95731678,-2781458823,3446152.74,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.95731678,-24.22999231,,,,,,,
,,,,,,-24.22999231,30.95731678,-2781458823,3446152.74,,,,,,,,,,30.95731678,-24.22999231,N18,4,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22999231,30.95731678,-2781458823,3446152.74,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
Pp Large And Sense 8c. Bugs. Update 4th November 2020 Bugs Have Taken,,,,,,-24.22924,30.94976,-2781366986,3445311523,,Cochineal bug,,-,High,Car,Primary,,,,,,,,bugs have taken,,,,,,,,Prickly Pear,,30:33.0,,,30.94976,-24.22924,,,,,,,
Pp Large car 8c. Bugs,,,,,,-24.22924,30.94976,-2781366986,3445311523,,Cochineal bug,,-,High,Car,Primary,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,30:33.0,,,30.94976,-24.22924,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:37:42+02:00,-24.22848532,30.91469742,-2781274.86,3441408375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:45:39+02:00,-24.22848227,30.91355309,-2781274488,3441280988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:37:00+02:00,-24.22844621,30.91472681,-2781270086,3441411647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:34:55+02:00,-24.2282282,30.91498112,-2781243473,3441439956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:35:28+02:00,-24.22822254,30.91495675,-2781242781,3441437244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:09:12+02:00,-24.22822132,30.91534288,-2781242633,3441480227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster Box Glove Bugs ,,,,,2021-04-19T10:40:12+02:00,-24.22820733,30.91425243,-2781240925,3441358838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:32:15+02:00,-24.22812891,30.91503137,-2781231353,3441445.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T11:06:30+02:00,-24.22812675,30.91535733,-2781231089,3441481836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhino ,,,,,2021-03-30T09:47:41+02:00,-24.22810268,30.96988284,-2781228151,3447551588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove,,,, Bugs ,2021-04-19T10:33:04+02:00,-24.2280761,30.91508277,-2781224906,3441451272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOx Glove Bugs ,,,,,2021-04-19T10:29:41+02:00,-24.22807126,30.9150389,-2781224315,3441446388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:53:47+02:00,-24.22805724,30.9145134,-2781222604,3441387.89,Under tree small ones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T11:05:34+02:00,-24.2280564,30.91527998,-2781222.5,3441473225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster Box Glove Bugs ,,,,,2021-04-19T10:59:05+02:00,-24.22805333,30.91469987,-2781222127,3441408648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:55:19+02:00,-24.22804807,30.91458902,-2781221485,3441396308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:42:41+02:00,-24.22804313,30.91444168,-2781220881,3441379906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:07:13+02:00,-24.22803484,30.91556548,-2781219869,3441505007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:56:53+02:00,-24.22802537,30.91466269,-2781218713,3441404509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:00:04+02:00,-24.22802351,30.91473906,-2781218487,3441413.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T11:04:53+02:00,-24.22800085,30.91521069,-2781215.72,3441465512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing Glove Cactus Infestation. All Sprayed 20 August 2020. Update They Dying Need Respray,,,,,,-24228.00,30.91467,-2781215616,3441405322,,-,,MSMA,High,Car,Primary,,,,,,,,Dying. Needs respray,,,,,,,,Boxing Glove cactus,,46:17.0,,,30.91467,-24228,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:52:33+02:00,-24.22799735,30.91455867,-2781215293,3441392929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:02:33+02:00,-24.22796947,30.91506799,-2781211889,3441449626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T10:57:42+02:00,-24.22791501,30.91459505,-2781205241,3441396979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:01:05+02:00,-24.22790735,30.9149235,-2781204307,3441433542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs ,,,,,2021-04-19T10:49:33+02:00,-24.2279041,30.91412827,-2781203909,3441345017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:03:22+02:00,-24.22787345,30.91502565,-2781200168,3441444914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonewane,,,,,2021-01-13T10:52:46+02:00,-24.22776854,30.91486855,-2781187361,3441427425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp Med Foot Nursery 3c,,,,,,-24.22775,30.91458,-2781185098,3441395304,,-,,-,Med,Foot,Secondary,,,,,,,,nursery,,,,,,,,Prickly Pear,,56:47.0,,,30.91458,-24.22775,,,,,,,
Pp Med Foot Nursery 3c,,,,,,-24.22775,30.91458,-2781185098,3441395304,,-,,-,Med,Foot,Secondary,,,,,,,,Nursery,,,,,2020 - Quarter 3,,,Prickly Pear,,56:47.0,,,30.91458,-24.22775,,,,,,,
33,,,,,,-24.22769002,30.91513124,-2781177776,3441456668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbalabos -Tamboti ,,,,,2021-05-21T18:45:42+02:00,-24.22769,30.97016,-2781177774,3447582441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Glove Bugs,,,,,2021-04-19T11:10:30+02:00,-24.22768308,30.91496418,-2781176.93,3441438.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp Med 4c Bugs,,,,,,-24.22768,30.86885,-2781176553,3436304663,,Cochineal bug,,-,Med,Car,Primary,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,59:50.0,,,30.86885,-24.22768,,,,,,,
Pp Med 4c Bugs,,,,,,-24.22768,30.86885,-2781176553,3436304663,,Cochineal bug,,-,Med,Car,Primary,,,,,,,,,,,,,,,,Prickly Pear,,59:50.0,,,30.86885,-24.22768,,,,,,,
Pp Previously 4c Spread. Mostly Dead. Added Bugs,,,,,,-24.22762,30.91354,-2781169229,3441279531,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,23:45.0,,,30.91354,-24.22762,,,,,,,
Pp Previously 4c Spread. Mostly Dead. Added Bugs,,,,,,-24.22762,30.91354,-2781169229,3441279531,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,,,,,,,,,Prickly Pear,,23:45.0,,,30.91354,-24.22762,,,,,,,
PP small 2c nursery,,,,,,-24.22758,30.91474,-2781164346,3441413115,,-,,-,Low,Car,Primary,,,,,,,,nursery,,,,,,,,Prickly Pear,,49:05.0,,,30.91474,-24.22758,,,,,,,
PP small 2c nursery,,,,,,-24.22758,30.91474,-2781164346,3441413115,,-,,-,Low,Car,Primary,,,,,,,,nursery,,,,,,,,Prickly Pear,,49:05.0,,,30.91474,-24.22758,,,,,,,
PP small 2c nursery,,,,,,-24.22758,30.91474,-2781164346,3441413115,,-,,-,Low,Car,Primary,,,,,,,,nursery,,,,,,,,Prickly Pear,,49:05.0,,,30.91474,-24.22758,,,,,,,
Ppx3 Small 2c Nursery,,,,,,-24.22758,30.91474,-2781164346,3441413115,,-,,-,Low,Car,Primary,,,,,,,,Nursery,,,,,2020 - Quarter 3,,,Prickly Pear,,49:05.0,,,30.91474,-24.22758,,,,,,,
Pp  But Extremely Dense. Med 5c. Bugs,,,,,,-24.2272,30.95286,-2781117959,3445656614,,Cochineal bug,,-,Low,Car,Primary,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,46:13.0,,,30.95286,-24.2272,,,,,,,
Pp Low But Extremely Dense. Med 5c. Bugs. Update 4th November Bugs Have Taken,,,,,,-24.2272,30.95286,-2781117959,3445656614,,Cochineal bug,,-,Low,Car,Primary,,,,,,,,,,,,,,,,Prickly Pear,bugs have taken,46:13.0,,,30.95286,-24.2272,,,,,,,
Office,,,,,2021-01-11T09:50:21+02:00,-24.22713816,30.86858226,-2781110.41,3436274859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22586,30.86713,-2780954385,3436113194,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,Needs biological control,,,,,2019 - Quarter 3,,,Prickly pear,Treated,01:16.0,,,30.86713,-24.22586,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22582,30.86652,-2780949502,3436045289,,-,,-,Low,Foot,Secondary,,,,,,,,Removed to nursery,2 cladodes,,,,2020 - Quarter 2,,,Prickly pear,Treated,56:48.0,,,30.86652,-24.22582,,,,,,,
Pp Small Walk Nursery 2c Big One Part Of Plant Killed Respeouted,,,,,,-24.22582,30.86652,-2780949502,3436045289,,-,,-,High,Foot,Secondary,,,,,,,,Nursery,,,,,2020 - Quarter 2,,,Prickly Pear,,56:48.0,,,30.86652,-24.22582,,,,,,,
Pp Small Walk Nursery 2c Big One Part Of Plant Killed Respeouted,,,,,,-24.22582,30.86652,-2780949502,3436045289,,-,,-,Low,Foot,Secondary,,,,,,,,nursery,,,,,,,,Prickly Pear,,56:48.0,,,30.86652,-24.22582,,,,,,,
,,,,,,-24.22576699,30.9719788,-2780943031,3447784909,,,,,,,,1,1,,,,,,,,,,P17,,,,,,,,,30.9719788,-24.22576699,,,,,,,
,,,,,,-24.22576699,30.9719788,-2780943031,3447784909,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22576699,30.9719788,-2780943031,3447784909,,,,,,,,,,30.9719788,-24.22576699,P17,4,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22575466,30.97001829,-2780941526,3447566666,,,,,,,,1,1,,,,,,,,,,P17,,,,,,,,,30.97001829,-24.22575466,,,,,,,
,,,,,,-24.22575466,30.97001829,-2780941526,3447566666,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22575466,30.97001829,-2780941526,3447566666,,,,,,,,,,30.97001829,-24.22575466,P17,5,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22574781,30.97388667,-2780940.69,3447997292,,,,,,,,1,1,,,,,,,,,,P17,,,,,,,,,30.97388667,-24.22574781,,,,,,,
,,,,,,-24.22574781,30.97388667,-2780940.69,3447997292,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.22574781,30.97388667,-2780940.69,3447997292,,,,,,,,,,30.97388667,-24.22574781,P17,1,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22535,30.86778,-2780892.13,3436185552,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,,,,,,2019 - Quarter 3,,,Prickly pear,Treated,38:25.0,,,30.86778,-24.22535,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22535,30.86778,-2780892.13,3436185552,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,,,,,,2019 - Quarter 3,,,Prickly pear,Treated,38:25.0,,,30.86778,-24.22535,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22535,30.86778,-2780892.13,3436185552,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,,,,,,2019 - Quarter 3,,,Prickly pear,Treated,38:25.0,,,30.86778,-24.22535,,,,,,,
Tree 3,,,,,,-24.22532,30.86791,-2780888468,3436200023,,,0,,,,,,,,,,,,,,,X,,,0,?,,,,3,,30.86791,-24.22532,,,,,,,
Marula Site X,,,,,2021-02-24T15:27:36+02:00,-24.22523252,30.86836997,-2780877.79,3436251227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree 2,,,,,2021-02-24T15:14:35+02:00,-24.22521181,30.86772965,-2780875261,3436179946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree 2,,,,,,-24.2252,30.86774,-2780873819,3436181099,,,0,,,,,,,,,,,,,,,X,,,0,?,,,,2,,30.86774,-24.2252,,,,,,,
Marula Site X,,,,,2021-02-24T15:13:30+02:00,-24.22517689,30.86752201,-2780870998,3436156832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree 1,,,,,2021-02-24T15:14:14+02:00,-24.22510124,30.86767885,-2780861764,3436174291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree 1,,,,,,-24.2251,30.86766,-2780861613,3436172193,,,0,,,,,,,,,,,,,,,X,,,0,?,,,,1,,30.86766,-24.2251,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22504,30.87962,-2780854288,3437503574,,-,,-,Low,Car,Primary,,,,,,,,Removed to nursery,,,,,2020 - Quarter 1,,,Prickly pear,Treated,03:29.0,,,30.87962,-24.22504,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22496,30.87953,-2780844523,3437493556,,Cochineal bug,,MSMA,High,Foot,Secondary,,,,,,,,,,,,,2020 - Quarter 1,,,Prickly pear,Treated,05:29.0,,,30.87953,-24.22496,,,,,,,
Pp Large Car Nursery 6c,,,,,,-24.22492,30.88804,-2780839.64,3438440884,,-,,-,High,Car,Primary,,,,,,,,Nursery,,,,,2020 - Quarter 3,,,Prickly Pear,,33:47.0,,,30.88804,-24.22492,,,,,,,
Pp Large Car Nursery 6c,,,,,,-24.22492,30.88804,-2780839.64,3438440884,,-,,-,High,Car,Primary,,,,,,,,nursery,,,,,,,,Prickly Pear,,33:47.0,,,30.88804,-24.22492,,,,,,,
Tree 4,,,,,,-24.22481,30.86854,-2780826213,3436270154,,,0,,,,,,,,,,,,,,,X,,,0,?,,,,4,,30.86854,-24.22481,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22479,30.87878,-2780823771,3437410066,,-,,-,Low,Car,Primary,,,,,,,,Removed to nursery,,,,,2020 - Quarter 1,,,Prickly pear,Treated,54:03.0,,,30.87878,-24.22479,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22468,30.86878,-2780810344,3436296871,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,Update - Dead,,,,,2019 - Quarter 3,,,Prickly pear,Treated,57:56.0,,,30.86878,-24.22468,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22461,30.86899,-2780801799,3436320248,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,Update - Dead,,,,,2019 - Quarter 3,,,Prickly pear,Treated,52:52.0,,,30.86899,-24.22461,,,,,,,
Marula Site X,,,,,2021-02-24T15:59:09+02:00,-24.22458954,30.86837849,-2780799301,3436252176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marula Site X,,,,,2021-02-24T15:41:34+02:00,-24.22458953,30.86837849,-2780799301,3436252175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22455,30.86838,-2780794475,3436252343,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,Update - Dead,,,,,2019 - Quarter 3,,,Prickly pear,Treated,18:58.0,,,30.86838,-24.22455,,,,,,,
PP large car bugs 27th August revisitation bugs have spread,,,,,,-24.22453,30.87671,-2780792033,3437179635,,Cochineal bug,,MSMA,Med,Car,Primary,,,,,,,,Update - dead,,,,,2020 - Quarter 1,,,Prickly pear,Treated,30:36.0,,,30.87671,-24.22453,,,,,,,
Pp Large Foot Poo Untreated 7c,,,,,,-24.22448,30.97406,-2780785.93,3448016587,,-,,-,High,walk - poo,Tertiary,,,,,,,,,,,,,,,,Prickly Pear,untreated,51:43.0,,,30.97406,-24.22448,,,,,,,
Pp Large Foot Poo Untreated 7c,,,,,,-24.22448,30.97406,-2780785.93,3448016587,,-,,-,High,Foot,Secondary,,,,,,,,untreated,,,,,2020 - Quarter 3,,,Prickly Pear,,51:43.0,,,30.97406,-24.22448,,,,,,,
Huppel 2,,,,,2021-03-25T13:55:15+02:00,-24.22446,30.95761,-2780783489,3446185381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marula Tree Wrapped 1.5m Mesh ,,,,,2021-05-15T12:15:34+02:00,-24.22435144,30.89656893,-2780770237,3439390321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp Large Car Spray 6c,,,,,,-24.22433,30.89827,-2780767.62,3439579683,,-,,-,High,Car,Primary,,,,,,,,nursery,,,,,,,,Prickly Pear,,23:21.0,,,30.89827,-24.22433,,,,,,,
Pp Large Car Spray 6c,,,,,,-24.22433,30.89827,-2780767.62,3439579683,,-,,MSMA,High,Car,Primary,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,23:21.0,,,30.89827,-24.22433,,,,,,,
